,Quart 1/4,Quart 1/2,Quart 3/4,Alpha,KappaNaught,1/4 solved h,1/4 fsolve check (should be zero),1/2 solved h,1/2 fsolve check,3/4 solved h,3/4 fsolve check,dE 1/4 (mV),dE 3/4 (mV),dE 1/2 (mV),E1/4 - E 3/4 (mV)
114,0.25,0.5,0.75,0.5,9.11,4.368622224340496,0.0,3.8779029646550938,-0.0,4.8091275951635994,0.0,25.902032753561585,-35.17371890719874,3.960050553676873,61.075751660760325
115,0.25,0.5,0.75,0.5,10.1,4.85261028353898,0.0,4.297121739305835,-0.0,5.292917654695866,-0.0,26.11163972591927,-34.538191096955444,3.6023634646773623,60.64983082287472
116,0.25,0.5,0.75,0.5,11.09,5.336770100279525,-0.0,4.71648961156241,0.0,5.776988518216785,-0.0,26.285975089616446,-34.01022368463475,3.3047912686570307,60.296198774251195
117,0.25,0.5,0.75,0.5,12.079999999999998,5.821066474761882,-0.0,5.135973319727155,0.0,6.261265123354304,0.0,26.433322054896067,-33.56443808868358,3.053208017856696,59.99776014357965
118,0.25,0.5,0.75,0.5,13.069999999999999,6.3054732843547745,0.0,5.555548969831,0.0,6.745696454227406,0.0,26.55954259064413,-33.1828991320708,2.8376231205890425,59.74244172271493
119,0.25,0.5,0.75,0.5,14.059999999999999,6.789970712408598,0.0,5.975198914430645,0.0,7.230246747474017,0.0,26.66890602233752,-32.85256257695871,2.650763509125272,59.52146859929623
120,0.25,0.5,0.75,0.5,15.049999999999999,7.274543441479377,-0.0,6.394909812792999,0.0,7.714890261037961,0.0,26.764597916922742,-32.56370831090863,2.487203906702458,59.328306227831376
121,0.25,0.5,0.75,0.5,16.04,7.759179438048,-0.0,6.81467137818575,0.0,8.199608038740116,-0.0,26.84904488492851,-32.30894116366426,2.3428122715536435,59.15798604859277
122,0.25,0.5,0.75,0.5,17.029999999999998,8.243869113109477,0.0,7.234475542203051,0.0,8.684385841091881,-0.0,26.924128785351442,-32.082532638121926,2.2143843805610266,59.00666142347337
123,0.25,0.5,0.75,0.5,18.02,8.728604728927344,0.0,7.654315881559291,0.0,9.169212782893762,0.0,26.99133202778094,-31.879974887353516,2.099396127973765,58.871306915134454
124,0.25,0.5,0.75,0.5,19.009999999999998,9.21337997126332,-0.0,8.074187215312714,0.0,9.654080412994647,0.0,27.051838581118968,-31.697671011441606,1.9958314293240838,58.74950959256057
125,0.25,0.5,0.75,0.5,20.0,9.698189635405752,-0.0,8.494085315803831,0.0,10.138982078503634,-0.0,27.106605719346714,-31.532715326619034,1.9020600372861545,58.639321045965744
126,0.25,0.5,0.75,0.6000000000000001,0.2,5.0,10.0,5.0,5.0,5.0,2.0,26.16801174394681,-34.90803625774402,3.1303901600254305,61.076048001690836
127,0.25,0.5,0.75,0.6000000000000001,1.19,0.4958282524903439,0.0,0.6030769305386631,0.0,1.1755988262228627,0.0,13.485674134129047,-62.18594902544483,22.224232681240135,75.67162315957387
128,0.25,0.5,0.75,0.6000000000000001,2.18,0.9197628670682797,0.0,1.0091740646679108,-0.0,1.681657851619626,0.0,19.375684802838897,-49.40513571214821,13.51448172657459,68.78082051498711
129,0.25,0.5,0.75,0.6000000000000001,3.17,1.3488777211554261,-0.0,1.4237998235993952,-0.0,2.2101197140427304,-0.0,21.794789302187514,-43.75472512770409,9.851178608816497,65.5495144298916
130,0.25,0.5,0.75,0.6000000000000001,4.16,1.7799520790235128,-0.0,1.8410715677428386,0.0,2.7456705154961907,0.0,23.13769892474439,-40.53894975431193,7.802621453267403,63.67664867905632
131,0.25,0.5,0.75,0.6000000000000001,5.15,2.212049375530594,0.0,2.259477551371208,-0.0,3.2841098265174855,0.0,24.000758663502673,-38.45060890048958,6.481945430448664,62.45136756399225
132,0.25,0.5,0.75,0.6000000000000001,6.14,2.644769224632778,-0.0,2.6784663727016906,-0.0,3.82391950366252,0.0,24.605774886301575,-36.97967530304749,5.5546102454726025,61.58545018934907
133,0.25,0.5,0.75,0.6000000000000001,7.13,3.0779033280352013,-0.0,3.097791972892215,0.0,4.364448056822659,-0.0,25.05505939581281,-35.884953396279855,4.865263264421599,60.94001279209266
134,0.25,0.5,0.75,0.6000000000000001,8.12,3.511329793476389,-0.0,3.5173289132349956,-0.0,4.905381280870974,0.0,25.402696021242882,-35.03710642297268,4.331484831703126,60.43980244421556
135,0.25,0.5,0.75,0.6000000000000001,9.11,3.9449714865608,0.0,3.9370068597439665,-0.0,5.446554281522929,0.0,25.680108029675992,-34.360334194664844,3.905286702892414,60.040442224340836
136,0.25,0.5,0.75,0.6000000000000001,10.1,4.378776781206834,0.0,4.356783444290814,-0.0,5.987874822807064,0.0,25.90686715350373,-33.80716838312511,3.5567398252058138,59.71403553662884
137,0.25,0.5,0.75,0.6000000000000001,11.09,4.812709626867926,-0.0,4.776631673762728,0.0,6.52928868621274,0.0,26.095831596603432,-33.34631554130574,3.2661636903271822,59.442147137909174
138,0.25,0.5,0.75,0.6000000000000001,12.079999999999998,5.246743993939715,0.0,5.196533558407608,0.0,7.070762719731815,-0.0,26.25581375333168,-32.95628140368715,3.0200614034443904,59.21209515701883
